flag provided but not defined: -addr
Usage of C:\Users\Fwind43\Desktop\code\GenericAgent-Admin-Go\GenericAgent-Admin-Go.exe:
  -headless
    	run without browser, tray, or desktop pet; intended for Linux servers
  -no-browser
    	do not open the web UI automatically
  -port int
    	override HTTP listen port for this launch (1-65535)
  -server-only
    	alias for --headless

--- restart with -port 8799 ---
2026/06/25 11:06:47 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:07:01 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:07:16 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:07:31 desktop pet action=running ticks=18 loop=true
2026/06/25 11:07:47 desktop pet action=review ticks=18 loop=true
2026/06/25 11:08:03 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:08:19 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:08:35 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:08:52 desktop pet action=running ticks=18 loop=true
2026/06/25 11:09:09 desktop pet action=review ticks=18 loop=true
2026/06/25 11:09:27 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:09:41 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:09:56 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:10:11 desktop pet action=running ticks=18 loop=true
2026/06/25 11:10:26 desktop pet action=review ticks=18 loop=true
2026/06/25 11:10:42 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:10:58 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:11:14 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:11:31 desktop pet action=running ticks=18 loop=true
2026/06/25 11:11:48 desktop pet action=review ticks=18 loop=true
2026/06/25 11:12:05 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:12:19 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:12:34 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:12:49 desktop pet action=running ticks=18 loop=true
2026/06/25 11:13:05 desktop pet action=review ticks=18 loop=true
2026/06/25 11:13:20 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:13:36 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:13:52 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:14:08 desktop pet action=running ticks=18 loop=true
2026/06/25 11:14:25 desktop pet action=review ticks=18 loop=true
2026/06/25 11:14:42 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:14:59 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:15:14 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:15:29 desktop pet action=running ticks=18 loop=true
2026/06/25 11:15:44 desktop pet action=review ticks=18 loop=true
2026/06/25 11:16:00 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:16:15 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:16:31 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:16:47 desktop pet action=running ticks=18 loop=true
2026/06/25 11:17:04 desktop pet action=review ticks=18 loop=true
2026/06/25 11:17:21 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:17:38 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:17:52 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:18:07 desktop pet action=running ticks=18 loop=true
2026/06/25 11:18:22 desktop pet action=review ticks=18 loop=true
2026/06/25 11:18:38 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:18:53 desktop pet action=jumping ticks=16 loop=false
2026/06/25 11:19:09 desktop pet action=waiting ticks=18 loop=true
2026/06/25 11:19:25 desktop pet action=running ticks=18 loop=true
2026/06/25 11:19:42 desktop pet action=review ticks=18 loop=true
2026/06/25 11:19:59 desktop pet action=waving ticks=14 loop=false
2026/06/25 11:20:15 desktop pet action=jumping ticks=16 loop=false
